年,月,日,最高气温,最低气温
2011,1,1,3,-4
2011,1,2,0,-6
2011,1,3,0,-5
2011,1,4,0,-5
2011,1,5,0,-6
2011,1,6,-1,-6
2011,1,7,1,-5
2011,1,8,0,-6
2011,1,9,1,-4
2011,1,10,1,-5
2011,1,11,1,-4
2011,1,12,4,-4
2011,1,13,2,-5
2011,1,14,3,-6
2011,1,15,1,-6
2011,1,16,3,-6
2011,1,17,0,-5
2011,1,18,0,-5
2011,1,19,0,-4
2011,1,20,2,-4
2011,1,21,4,-4
2011,1,22,2,-5
2011,1,23,3,-5
2011,1,24,4,-5
2011,1,25,2,-5
2011,1,26,2,-3
2011,1,27,0,-4
2011,1,28,0,-5
2011,1,29,3,-6
2011,1,30,3,-5
2011,1,31,4,-5
2011,2,1,5,-4
2011,2,2,9,-3
2011,2,3,10,-2
2011,2,4,11,0
2011,2,5,14,1
2011,2,6,11,2
2011,2,7,13,2
2011,2,8,9,0
2011,2,9,4,-1
2011,2,10,6,0
2011,2,11,6,0
2011,2,12,4,-2
2011,2,13,7,-3
2011,2,14,10,-2
2011,2,15,6,-2
2011,2,16,6,-2
2011,2,17,7,1
2011,2,18,6,1
2011,2,19,8,3
2011,2,20,11,2
2011,2,21,11,3
2011,2,22,11,4
2011,2,23,17,4
2011,2,24,17,4
2011,2,25,8,3
2011,2,26,5,0
2011,2,27,4,0
2011,2,28,5,0
2011,3,1,8,0
2011,3,2,12,1
2011,3,3,10,1
2011,3,4,12,4
2011,3,5,9,3
2011,3,6,13,2
2011,3,7,16,3
2011,3,8,17,4
2011,3,9,13,3
2011,3,10,15,5
2011,3,11,17,5
2011,3,12,19,9
2011,3,13,20,5
2011,3,14,10,1
2011,3,15,12,1
2011,3,16,15,3
2011,3,17,19,6
2011,3,18,15,7
2011,3,19,9,3
2011,3,20,6,3
2011,3,21,7,1
2011,3,22,12,2
2011,3,23,12,2
2011,3,24,11,3
2011,3,25,15,3
2011,3,26,17,4
2011,3,27,17,5
2011,3,28,19,7
2011,3,29,21,9
2011,3,30,22,11
2011,3,31,22,12
2011,4,1,17,7
2011,4,2,13,4
2011,4,3,13,4
2011,4,4,13,5
2011,4,5,14,8
2011,4,6,13,8
2011,4,7,15,7
2011,4,8,19,10
2011,4,9,24,10
2011,4,10,24,9
2011,4,11,20,11
2011,4,12,24,12
2011,4,13,27,15
2011,4,14,28,15
2011,4,15,27,17
2011,4,16,27,15
2011,4,17,26,15
2011,4,18,28,15
2011,4,19,28,15
2011,4,20,22,12
2011,4,21,25,12
2011,4,22,28,13
2011,4,23,30,14
2011,4,24,30,15
2011,4,25,31,17
2011,4,26,31,18
2011,4,27,29,19
2011,4,28,32,18
2011,4,29,33,15
2011,4,30,28,18
2011,5,1,27,9
2011,5,2,22,10
2011,5,3,26,13
2011,5,4,29,15
2011,5,5,30,18
2011,5,6,31,20
2011,5,7,32,22
2011,5,8,31,15
2011,5,9,21,13
2011,5,10,21,11
2011,5,11,26,14
2011,5,12,25,14
2011,5,13,23,13
2011,5,14,25,15
2011,5,15,29,15
2011,5,16,31,19
2011,5,17,35,22
2011,5,18,36,23
2011,5,19,31,21
2011,5,20,24,13
2011,5,21,17,11
2011,5,22,22,11
2011,5,23,24,13
2011,5,24,22,14
2011,5,25,27,15
2011,5,26,29,17
2011,5,27,31,19
2011,5,28,31,17
2011,5,29,25,17
2011,5,30,25,17
2011,5,31,30,19
2011,6,1,32,18
2011,6,2,30,19
2011,6,3,30,19
2011,6,4,29,19
2011,6,5,30,20
2011,6,6,33,21
2011,6,7,37,22
2011,6,8,37,24
2011,6,9,28,18
2011,6,10,33,20
2011,6,11,35,22
2011,6,12,33,22
2011,6,13,33,24
2011,6,14,34,23
2011,6,15,36,24
2011,6,16,35,20
2011,6,17,26,19
2011,6,18,31,21
2011,6,19,28,24
2011,6,20,27,19
2011,6,21,24,19
2011,6,22,25,20
2011,6,23,35,21
2011,6,24,36,23
2011,6,25,34,21
2011,6,26,25,21
2011,6,27,31,20
2011,6,28,35,22
2011,6,29,35,25
2011,6,30,36,27
2011,7,1,35,28
2011,7,2,36,24
2011,7,3,29,23
2011,7,4,27,22
2011,7,5,26,20
2011,7,6,23,19
2011,7,7,30,20
2011,7,8,36,21
2011,7,9,35,22
2011,7,10,33,23
2011,7,11,29,23
2011,7,12,30,24
2011,7,13,32,25
2011,7,14,36,25
2011,7,15,36,24
2011,7,16,36,25
2011,7,17,36,25
2011,7,18,35,24
2011,7,19,35,25
2011,7,20,34,25
2011,7,21,33,22
2011,7,22,29,22
2011,7,23,29,25
2011,7,24,36,27
2011,7,25,38,27
2011,7,26,36,26
2011,7,27,36,25
2011,7,28,35,22
2011,7,29,29,21
2011,7,30,32,22
2011,7,31,34,22
2011,8,1,23,18
2011,8,2,28,20
2011,8,3,29,21
2011,8,4,24,19
2011,8,5,26,19
2011,8,6,30,21
2011,8,7,33,21
2011,8,8,35,24
2011,8,9,35,24
2011,8,10,34,24
2011,8,11,34,24
2011,8,12,34,25
2011,8,13,34,26
2011,8,14,36,27
2011,8,15,36,27
2011,8,16,33,23
2011,8,17,30,25
2011,8,18,31,24
2011,8,19,27,19
2011,8,20,23,17
2011,8,21,21,17
2011,8,22,26,18
2011,8,23,26,19
2011,8,24,29,21
2011,8,25,28,21
2011,8,26,30,20
2011,8,27,30,21
2011,8,28,30,22
2011,8,29,31,22
2011,8,30,32,23
2011,8,31,32,23
2011,9,1,32,23
2011,9,2,30,23
2011,9,3,30,20
2011,9,4,26,17
2011,9,5,21,16
2011,9,6,18,15
2011,9,7,20,15
2011,9,8,26,17
2011,9,9,26,18
2011,9,10,22,15
2011,9,11,18,16
2011,9,12,21,16
2011,9,13,19,17
2011,9,14,23,18
2011,9,15,24,18
2011,9,16,22,15
2011,9,17,17,13
2011,9,18,16,9
2011,9,19,14,10
2011,9,20,17,12
2011,9,21,22,13
2011,9,22,24,14
